,simbolo,tipo,sub_tipo,descricao,dividend_yield,patrimonio_liquido,liquidez_diaria_media,ultimo_rendimento,valor_patrimonial,rentabilidade_mes,p_vp,cotas_emitidas,numero_cotistas,min_semanas,max_semanas,valorizacao
321,TGAR11,Fundo Misto,Fundo de Desenvolvimento,,13.61,1500000000.0,"6,9M",1.09,111.49,0.84,,13784500,124930,108.6,128.19,0.56
322,TJKB11,Fundo Misto,Indefinido,,11.33,202300000.0,"1,3K",0.98,267.25,-2.21,,756974,81,240.01,271.43,2.94
323,TMPS11,Fundo de Fundos,Fundo de Fundos,,6.6,101100000.0,"145,4K",0.96,103.31,4.25,,978968,1847,90.5,111.15,1.24
324,TORD11,Fundo Misto,Misto,,2.25,445700000.0,"147,5K",0.17,12.72,-0.44,,35051354,94035,2.02,7.1,68.45
325,TRBL11,Sem categoria,Imóveis Industriais e Logísticos,,9.52,608900000.0,"745,7K",1.03,95.22,-0.55,,6395050,62066,87.0,102.46,8.64
326,TRNT11,Tijolo,Lajes Corporativas,,3.64,778100000.0,"18,3K",0.64,197.7,-6.59,,3935562,689,97.0,149.0,14.77
327,TRXB11,Fundo Misto,Fundo de Desenvolvimento,,8.92,310800000.0,"1,2K",1.38,108.62,3.22,,2860950,211,116.0,151.55,25.1
328,TRXF11,Tijolo,Imóveis Comerciais - Outros,,10.13,1400000000.0,"10,0M",1.08,103.83,1.72,,13269951,117516,101.7,114.39,7.48
329,TSER11,Tijolo,Lajes Corporativas,,11.36,131800000.00000001,850,0.97,102.59,-2.97,,1284884,31,86.01,119.69,16.45
330,TVRI11,Sem categoria,Agências de Bancos,,10.96,1600000000.0,"1,1M",1.0,99.05,3.17,,15919690,72157,81.3,99.97,18.03
331,URPR11,Papel,Papéis,,16.54,1200000000.0,"1,9M",0.87,102.66,4.33,,11675248,91137,80.54,101.85,10.23
332,VCJR11,Papel,Papéis,,11.87,1400000000.0,"1,9M",0.96,97.01,0.67,,14723970,25284,85.26,94.31,1.89
333,VCRA11,Fiagro,Indefinido,,15.55,473000000.0,"885,5K",0.91,102.96,-1.38,,4593919,8870,87.69,109.37,12.46
334,VCRI11,Papel,Papéis,,13.55,171200000.0,"293,8K",0.89,9.63,2.98,,17773297,12039,7.69,9.02,2.49
335,VCRR11,Tijolo,Imóveis Residenciais,,12.31,256300000.0,"274,0K",0.53,128.14,1.35,,2000000,4205,66.06,84.5,3.4
336,VERE11,Tijolo,Imóveis Industriais e Logísticos,,13.9,219400000.0,N/A,0.64,364.84,,,601308,53,0.0,0.0,0.0
337,VGHF11,Fundo Misto,Misto,,13.77,871100000.0,"3,8M",1.02,9.25,-0.21,,94187891,328058,8.65,9.88,2.5
338,VGIA11,Fiagro,Indefinido,,17.28,832700000.0,"3,9M",0.94,9.63,1.45,,86455117,161613,8.03,10.05,9.21
339,VGIP11,Papel,Papéis,,11.86,1100000000.0,"1,7M",0.97,93.17,0.29,,11787247,88746,79.2,94.28,3.88
340,VGIR11,Papel,Papéis,,14.63,1000000000.0,"4,0M",1.02,9.76,0.61,,103220707,230050,9.12,10.01,0.1
341,VIFI11,Papel,Fundo de Fundos,,10.01,74000000.0,"273,4K",0.89,9.14,-0.37,,8089190,6416,6.46,8.63,17.24
342,VILG11,Tijolo,Imóveis Industriais e Logísticos,,8.28,1700000000.0,"3,1M",0.87,111.25,-2.54,,14997396,162935,83.2,111.32,2.29
343,VINO11,Tijolo,Lajes Corporativas,,9.51,898300000.0,"1,1M",0.71,10.85,0.79,,82826295,144500,7.19,9.5,18.83
344,VISC11,Tijolo,Shoppings,,8.83,2400000000.0,"6,4M",1.05,115.07,-1.76,,21243688,271018,100.95,125.33,15.08
345,VIUR11,Fundo Misto,Misto,,10.83,243500000.0,"342,3K",0.88,9.04,0.25,,26946220,46845,6.03,8.62,5.88
346,VLOL11,Tijolo,Lajes Corporativas,,3.86,198200000.0,"160,2K",0.88,111.06,6.15,,1784828,3127,90.01,99.79,1.73
347,VOTS11,Papel,Papéis,,16.55,77600000.0,"11,2K",0.87,93.75,-1.51,,827913,683,77.16,87.99,3.14
348,VRTA11,Papel,Papéis,,11.39,1500000000.0,"2,3M",0.94,93.19,-1.32,,15592424,125012,81.32,93.03,1.1
349,VSEC11,Papel,Papéis,,285.71,182.3,3,0.07,2.91,19.93,,62735,64,0.21,44.0,99.52
