,simbolo,tipo,sub_tipo,descricao,dividend_yield,patrimonio_liquido,liquidez_diaria_media,ultimo_rendimento,valor_patrimonial,rentabilidade_mes,p_vp,cotas_emitidas,numero_cotistas,min_semanas,max_semanas,valorizacao
83,DPRO11,Tijolo,Indefinido,,95.4,47000000.0,"15,1K",0.87,9.4,2.43,,5003220,284,7.6,85.81,15.77
84,DRIT11B,Tijolo,Lajes Corporativas,,9.51,61500000.0,"1,5K",0.63,132.78,-2.63,,463277,350,76.99,104.99,13.17
85,DVFF11,Papel,Fundo de Fundos,,10.8,102200000.0,"134,5K",0.89,9.28,-1.21,,11009500,921,6.13,8.64,14.71
86,EDFO11B,Tijolo,Lajes Corporativas,,9.03,42600000.0,"7,9K",1.27,180.67,20.38,,236000,537,177.0,229.98,15.0
87,EDGA11,Tijolo,Lajes Corporativas,,5.37,233700000.0,"19,9K",0.35,61.3,-1.12,,3812055,5194,18.26,23.99,11.66
88,EGAF11,Fiagro,Indefinido,,16.33,186500000.0,"1,1M",1.0,98.73,-1.36,,1888921,12058,97.75,102.99,1.11
89,ELDO11B,Tijolo,Shoppings,,13.69,1100000000.0,N/A,0.53,1440.67,,,787256,61,0.0,0.0,0.0
90,EQIR11,Fundo Misto,Indefinido,,13.55,66700000.0,"95,4K",0.98,9.98,-0.61,,6676428,9661,8.13,10.35,0.83
91,ERCR11,Tijolo,Varejo,,0.18,118600000.0,N/A,1.52,49925.5,,,2376,10,0.0,0.0,0.0
92,ERPA11,Tijolo,Lajes Corporativas,,7.13,68700000.0,"48,2K",0.87,137.18,6.22,,500922,387,112.0,123.98,3.29
93,EURO11,Tijolo,Imóveis Industriais e Logísticos,,8.59,125000000.0,"58,2K",0.8,325.45,1.76,,383936,2382,220.0,260.0,7.57
94,EVBI11,Fundo Misto,Misto,,9.2,213600000.0,"507,7K",1.0,99.15,0.4,,2153893,1018,86.7,99.24,1.94
95,EXES11,Fundo de Fundos,Indefinido,,11.05,52300000.0,619,0.97,91.6,0.01,,571390,58,88.0,103.05,14.18
96,FAED11,Tijolo,Educacional,,11.65,140700000.0,"56,3K",0.72,219.1,-1.06,,642168,4616,138.0,177.97,5.33
97,FATN11,Tijolo,Lajes Corporativas,,10.92,260100000.00000003,"838,2K",0.93,99.28,0.22,,2619718,3720,89.81,97.89,1.81
98,FCFL11,Tijolo,Educacional,,8.28,406700000.0,"224,2K",1.01,117.08,0.9,,3474010,3409,98.92,118.67,2.01
99,FEXC11,Papel,Papéis,,134.61,1000000000.0,"860,1K",0.1,90.57,-3.91,,11057908,36232,83.5,91.49,1.2
100,FGAA11,Fiagro,Indefinido,,16.14,432100000.0,"1,8M",0.99,9.58,-2.1,,45081449,44836,8.91,10.14,5.95
101,FIGS11,Tijolo,Shoppings,,8.73,217400000.0,"239,3K",0.81,76.28,1.85,,2850000,14685,45.57,65.12,28.01
102,FIIB11,Tijolo,Imóveis Industriais e Logísticos,,8.15,316200000.0,"253,3K",1.11,461.58,-0.29,,685000,16582,432.02,529.97,11.27
103,FIIP11B,Tijolo,Imóveis Industriais e Logísticos,,9.15,188600000.0,"66,9K",0.9,203.43,3.38,,927162,7508,137.62,183.9,23.37
104,FISC11,Tijolo,Lajes Corporativas,,7.4,195200000.0,"3,4K",0.56,114.81,-1.54,,1699996,64,55.9,158.22,59.55
105,FLCR11,Papel,Papéis,,13.65,62000000.0,"55,0K",1.01,97.79,-0.13,,633604,2714,91.8,98.4,1.66
106,FLMA11,Tijolo,Lajes Corporativas,,7.74,221400000.0,"86,5K",0.89,160.37,-3.26,,1380670,14968,116.63,147.02,10.26
107,FLRP11,Tijolo,Shoppings,,8.25,119000000.0,"199,4K",1.1,1824.89,-3.96,,65232,785,1530.0,2130.0,23.92
108,FMOF11,Tijolo,Lajes Corporativas,,1.07,60500000.0,"1,1K",0.48,119.01,2.01,,508008,266,48.0,59.49,1.78
109,FPAB11,Tijolo,Lajes Corporativas,,8.57,280600000.0,"9,5K",0.59,374.18,3.51,,750000,923,124.0,219.78,53.34
110,FPNG11,Tijolo,Lajes Corporativas,,8.26,322100000.0,850,0.53,160.95,0.1,,2001349,67,68.61,86.01,23.99
111,FTCE11B,Fundo Misto,Misto,,6.86,2900000000.0,"14,8K",1.0,2899.63,,,1004269,112,2870.0,2900.89,1.08
112,FVPQ11,Tijolo,Shoppings,,10.98,537500000.0,"73,7K",0.57,191.97,-0.17,,2800149,3987,87.98,128.0,8.22
113,FZDA11,Fiagro,Indefinido,,1.85,345200000.0,"131,5K",0.55,222.7,-2.08,,1550000,461,106.51,165.0,14.54
114,GALG11,Tijolo,Imóveis Industriais e Logísticos,,10.78,523100000.0,"3,0M",1.01,9.1,-0.97,,57485300,102637,8.13,9.45,1.1
115,GAME11,Fundo Misto,Indefinido,,12.85,212500000.0,"138,9K",0.95,9.79,2.07,,21697677,24082,8.2,9.38,6.35
116,GCFF11,Papel,Fundo de Fundos,,4.21,27900000.0,"87,7K",0.89,77.51,0.61,,360477,1759,64.87,71.2,2.67
117,GCOI11,Sem categoria,Indefinido,,0.81,11000000.0,"9,9K",1.02,97.32,,,113000,356,98.99,98.99,0.0
118,GCRA11,Fiagro,Indefinido,,17.7,172100000.0,"513,7K",0.79,98.28,-0.97,,1750865,7357,68.5,97.67,21.56
119,GCRI11,Papel,Papéis,,13.9,138100000.0,"306,1K",0.94,94.96,0.6,,1453859,4961,83.6,94.5,5.79
120,GESE11B,Tijolo,Educacional,,87.27,58200000.0,N/A,1.36,1119.08,,,52000,56,0.0,0.0,0.0
121,GGRC11,Tijolo,Imóveis Industriais e Logísticos,,10.21,1000000000.0,"1,5M",1.0,113.34,0.31,,9031191,106483,98.3,124.5,1.61
122,GLOG11,Sem categoria,Imóveis Industriais e Logísticos,,12.08,79900000.0,"62,4K",0.62,106.52,-0.17,,750000,3076,62.61,73.5,8.49
123,GRWA11,Fiagro,Indefinido,,11.15,12900000.0,"48,7K",1.16,10.18,-0.34,,1267100,1801,10.0,11.85,17.0
124,GTLG11,Tijolo,Imóveis Industriais e Logísticos,,6.78,434800000.0,"22,9K",1.06,60.62,-1.55,,7173000,341,62.61,99.0,34.7
125,GTWR11,Tijolo,Lajes Corporativas,,10.57,1100000000.0,"1,1M",0.94,95.14,1.59,,12000000,33086,72.63,89.88,20.65
126,GURB11,Sem categoria,Indefinido,,5.32,126300000.0,"5,9M",0.97,111.28,2.83,,1135160,21,101.0,109.0,6.93
127,HAAA11,Tijolo,Lajes Corporativas,,9.24,278300000.0,"1,9K",0.6,80.56,5.43,,3455000,320,45.21,80.0,40.01
128,HABT11,Papel,Papéis,,15.21,795500000.0,"1,5M",0.91,97.88,0.34,,8126783,70629,82.46,97.96,0.25
129,HBCR11,Fundo Misto,Indefinido,,6.14,137000000.0,"6,9M",0.98,119.38,0.01,,1147760,39,111.19,120.62,3.6
130,HBRH11,Tijolo,Lajes Corporativas,,7.26,310400000.0,"361,7K",0.81,111.96,-1.68,,2772204,970,85.0,97.8,7.29
131,HCHG11,Papel,Papéis,,13.19,117300000.0,"32,4K",0.77,97.76,1.25,,1200000,1003,75.15,86.97,10.22
132,HCRI11,Tijolo,Hospitalar,,10.98,62400000.0,"57,5K",0.97,312.06,-0.02,,200000,3085,223.77,308.73,34.55
133,HCTR11,Papel,Papéis,,14.67,2500000000.0,"1,6M",0.34,114.32,-2.96,,22084202,193383,28.81,99.39,61.94
134,HDEL11,Tijolo,Imóveis Industriais e Logísticos,,7.27,77600000.0,"21,5K",1.16,92.43,0.35,,840000,59,104.17,107.5,3.2
135,HFOF11,Papel,Fundo de Fundos,,9.64,1800000000.0,"3,0M",0.99,79.52,-0.24,,23044389,77182,64.21,84.92,15.05
136,HGAG11,Fiagro,Indefinido,,14.67,5900000.0,"15,2K",1.09,23.69,12.26,,248252,1386,22.0,47.98,19.28
137,HGBS11,Tijolo,Shoppings,,8.8,2900000000.0,"5,8M",1.02,224.62,1.47,,12729800,102934,176.54,233.0,25.97
138,HGCR11,Papel,Papéis,,12.91,1600000000.0,"3,4M",1.03,101.88,-0.12,,15418106,104345,98.3,108.35,2.52
139,HGFF11,Papel,Fundo de Fundos,,9.1,262500000.0,"737,5K",0.97,91.67,0.46,,2863597,16406,67.31,90.81,24.45
140,HGIC11,Papel,Papéis,,11.32,55500000.0,"16,9K",0.88,119.92,0.72,,462706,357,88.0,111.97,0.86
141,HGLG11,Tijolo,Imóveis Industriais e Logísticos,,8.39,5200000000.0,"13,1M",1.06,152.83,0.02,,33787575,430770,154.99,167.84,0.23
142,HGPO11,Tijolo,Lajes Corporativas,,6.54,523900000.0,"644,6K",0.96,298.84,1.39,,1753057,17927,238.0,297.0,14.35
143,HGRE11,Tijolo,Lajes Corporativas,,7.79,1800000000.0,"1,6M",0.86,154.51,1.91,,11817767,147211,107.39,143.8,15.92
144,HGRU11,Fundo Misto,Misto,,8.83,2300000000.0,"3,6M",1.11,123.67,-1.09,,18406458,207981,114.3,141.4,17.95
145,HLOG11,Tijolo,Imóveis Industriais e Logísticos,,9.4,488800000.0,"62,5K",0.72,115.01,-1.58,,4250000,4285,81.0,99.69,4.55
146,HOFC11,Tijolo,Lajes Corporativas,,12.55,337200000.0,"77,4K",0.22,89.22,2.65,,3779001,6949,18.2,27.51,29.36
147,HOSI11,Tijolo,Imóveis Residenciais,,8.58,53200000.0,"238,5K",0.98,92.81,0.45,,573450,1608,52.5,91.5,50.72
148,HPDP11,Tijolo,Shoppings,,7.36,278400000.0,"1,2M",1.0,88.35,0.54,,3150649,423,64.05,88.97,12.12
149,HREC11,Papel,Papéis,,111.64,474200000.0,"161,6K",0.09,91.95,-0.57,,5156765,1711,7.48,8.98,7.15
150,HSAF11,Papel,Papéis,,12.41,231900000.0,"423,4K",0.94,91.78,0.42,,2526360,10628,75.76,90.95,8.98
151,HSLG11,Tijolo,Imóveis Industriais e Logísticos,,8.94,1300000000.0,"1,0M",0.94,103.68,1.13,,12660067,35751,74.1,100.0,11.63
152,HSML11,Tijolo,Shoppings,,9.28,1500000000.0,"3,3M",1.01,94.34,-0.97,,15780613,166127,74.09,98.86,28.51
153,HSRE11,Fundo Misto,Misto,,7.03,832500000.0,"5,1M",1.12,93.55,-0.08,,8898724,236,100.0,116.92,3.34
154,HTMX11,Tijolo,Hotéis,,14.16,194900000.0,"2,4M",1.36,129.55,-7.45,,1504334,30859,99.01,198.0,55.99
155,HUCG11,Tijolo,Hospitalar,,3.4,116500000.0,"7,4K",0.91,103.81,0.83,,1122000,219,65.0,112.08,15.34
156,HUSC11,Tijolo,Hospitalar,,9.02,119200000.0,"4,2K",0.82,145.38,-1.55,,819907,773,91.99,123.0,7.07
157,HUSI11,Tijolo,Hospitalar,,8.89,129500000.0,"6,9K",1.08,1112.77,20.0,,116362,87,691.0,1200.0,4.8
158,IAAG11,Fiagro,Indefinido,,5.3,52800000.0,"23,0K",0.92,9.68,-0.9,,5448766,1563,8.85,10.2,11.5
159,IBCR11,Fundo Misto,Papéis,,13.67,92400000.0,"208,2K",0.84,96.41,0.36,,958423,4035,68.5,84.51,3.28
160,IBFF11,Papel,Fundo de Fundos,,0.45,9900000.0,"162,5K",4.49,14.78,1.47,,666681,3870,66.4,66.41,0.02
161,IDFI11,Fundo Misto,Indefinido,,20.7,62400000.0,"9,8K",0.71,30.34,-13.0,,2057925,371,20.0,59.27,63.74
162,IDGR11,Sem categoria,Misto,,4.29,11000000.0,650,0.93,12.41,1.68,,883359,72,11.07,81.0,85.77
163,IRDM11,Papel,Papéis,,12.27,3200000000.0,"4,8M",0.95,87.27,0.91,,36433827,294383,72.43,92.68,10.62
164,IRIM11,Fundo Misto,Indefinido,,13.18,175300000.0,"45,3K",0.95,91.31,-0.4,,1920000,2708,78.75,95.89,9.61
165,ITIP11,Papel,Papéis,,12.16,57400000.0,"104,3K",0.99,76.72,-0.31,,748151,4946,70.36,79.99,4.34
166,ITIT11,Papel,Fundo de Fundos,,9.06,78500000.0,"210,2K",0.91,87.15,3.49,,900494,10129,70.49,80.5,0.72
167,JASC11,Tijolo,Imóveis Comerciais - Outros,,5.31,358600000.0,"999,9K",0.96,107.64,-0.96,,3331507,77,100.0,104.0,1.98
168,JBFO11,Fundo Misto,Papéis,,6.13,106000000.0,87,1.05,82.9,,,1279070,364,87.0,92.01,5.45
169,JCCJ11,Sem categoria,Papéis,,0.75,289900000.0,"7,5M",0.72,173.75,-0.76,,1668505,152,105.0,128.0,18.1
170,JFLL11,Tijolo,Imóveis Residenciais,,9.82,151500000.0,"47,5K",0.75,100.94,1.96,,1500598,3693,56.15,80.39,23.34
171,JGPX11,Fiagro,Indefinido,,15.08,204600000.0,"391,8K",0.98,95.57,1.27,,2141248,7463,90.09,102.75,4.1
172,JPPA11,Papel,Papéis,,15.96,88400000.0,"212,3K",0.96,97.79,2.86,,904050,9137,90.21,104.37,7.97
173,JPPC11,Fundo Misto,Fundo de Desenvolvimento,,0.09,22100000.0,800,0.5,402.02,0.01,,55000,88,110.0,200.0,35.11
174,JRDM11,Tijolo,Shoppings,,4.4,224100000.0,"610,7K",0.97,88.84,3.66,,2522968,4001,76.56,85.9,8.05
175,JSAF11,Fundo Misto,Fundo de Fundos,,11.23,153000000.0,"970,5K",1.05,97.25,-0.73,,1573047,13252,76.14,105.58,26.36
176,JSRE11,Fundo Misto,Misto,,7.25,2300000000.0,"2,6M",0.68,112.33,4.53,,20767328,104094,61.0,81.75,11.48
177,KCRE11,Fundo Misto,Indefinido,,11.97,367200000.0,"611,8K",0.96,102.01,0.04,,3600000,10101,87.0,99.98,12.06
178,KEVE11,Fundo Misto,Fundo de Desenvolvimento,,0.46,137200000.0,"160,6K",1.19,929.14,-1.77,,147700,485,960.0,1150.0,11.55
179,KFOF11,Papel,Fundo de Fundos,,9.2,433700000.0,"885,4K",1.09,95.67,4.14,,4533315,19232,73.05,106.51,33.16
180,KINP11,Fundo Misto,Fundo de Desenvolvimento,,65.42,26400000.0,"38,4K",2.66,3.69,-4.2,,7147934,1932,8.0,10.5,21.53
181,KISU11,Papel,Fundo de Fundos,,10.69,388000000.0,"1,0M",0.94,8.78,-3.85,,44196050,131430,7.58,8.81,3.13
182,KIVO11,Papel,Papéis,,17.05,111600000.0,"371,2K",0.99,91.84,0.7,,1215124,4095,80.66,94.99,1.34
183,KNCA11,Fiagro,Indefinido,,13.56,2200000000.0,"3,0M",1.01,103.07,-0.01,,21599919,57721,103.04,109.99,1.6
184,KNCR11,Papel,Papéis,,12.96,5800000000.0,"9,2M",1.03,100.8,-0.19,,57097087,304408,93.0,104.35,5.52
185,KNHF11,Sem categoria,Indefinido,,4.74,989500000.0,"1,1M",1.03,101.2,-0.69,,9777905,12830,101.15,106.48,0.01
186,KNHY11,Papel,Papéis,,12.38,1900000000.0,"2,9M",1.02,102.46,1.85,,18490843,15846,93.21,104.91,9.62
187,KNIP11,Papel,Papéis,,9.98,7800000000.0,"12,1M",0.98,97.9,1.09,,80078186,74995,88.47,96.26,6.91
188,KNRE11,Fundo Misto,Fundo de Desenvolvimento,,9.21,14100000.0,"8,1K",0.51,0.76,-2.5,,18547161,6824,0.36,0.73,28.57
189,KNRI11,Fundo Misto,Misto,,7.4,3900000000.0,"3,7M",1.03,159.71,-0.53,,24157121,262554,134.5,167.15,17.72
190,KNSC11,Papel,Papéis,,11.09,1200000000.0,"3,1M",1.02,9.06,0.77,,132757940,122671,8.45,9.21,7.01
191,KNUQ11,Sem categoria,Indefinido,,6.26,745100000.0,"520,3K",1.03,100.92,1.03,,7382303,7676,100.57,104.45,2.11
192,LASC11,Tijolo,Shoppings,,7.28,300100000.0,"765,9K",1.04,102.08,0.37,,2940298,378,99.4,106.99,5.9
193,LATR11B,Fundo Misto,Fundo de Desenvolvimento,,202.33,1200000.0,100,0.95,10.03,0.11,,124104,132,9.5,10.0,4.9
194,LFTT11,Papel,Papéis,,6.4,141500000.0,"22,6K",1.62,19.11,-8.48,,7404543,505,29.0,77.5,56.86
195,LGCP11,Tijolo,Imóveis Industriais e Logísticos,,8.61,361400000.0,"589,2K",0.88,102.39,0.26,,3529735,15633,71.44,90.2,11.31
196,LIFE11,Tijolo,Imóveis Comerciais - Outros,,15.64,226300000.0,"229,6K",1.0,10.16,0.79,,22276744,5568,9.5,10.99,7.19
197,LLAO11,Fundo Misto,Misto,,3.12,27900000.0,"551,3K",1.0,77.33,,,361140,77,77.37,77.37,23.37
198,LSPA11,Papel,Papéis,,12.84,46700000.0,"21,4K",0.93,115.47,,,404500,224,101.3,107.0,5.63
199,LUGG11,Fundo Misto,Fundo de Desenvolvimento,,8.2,139700000.0,"54,2K",0.67,123.56,0.08,,1130706,6564,69.99,92.7,7.55
200,LVBI11,Tijolo,Imóveis Industriais e Logísticos,,8.05,1700000000.0,"5,1M",1.01,117.26,1.01,,14243672,91937,92.32,119.6,18.42
201,MALL11,Tijolo,Shoppings,,8.17,1100000000.0,"1,9M",0.99,119.22,-0.06,,9124659,131412,97.02,119.69,16.81
202,MANA11,Fundo Misto,Indefinido,,13.95,208900000.0,"222,3K",0.96,9.77,0.11,,21389376,5183,9.23,10.05,6.01
203,MATV11,Fundo Misto,Indefinido,,3.0,39900000.0,"13,0K",0.92,93.73,4.0,,425968,325,71.9,87.48,2.4
204,MAXR11,Tijolo,Varejo,,10.47,140300000.0,"323,4K",0.63,124.64,-1.36,,1125655,4470,54.83,78.86,6.68
205,MCCI11,Papel,Papéis,,11.99,1600000000.0,"3,7M",0.99,95.65,-0.74,,16960024,116461,83.19,96.78,2.43
206,MCHF11,Papel,Papéis,,12.22,310600000.0,"1,3M",0.96,9.6,2.11,,32354247,84727,8.07,9.42,0.75
207,MCHY11,Papel,Papéis,,137.09,359500000.0,"28,2K",0.12,100.13,-89.61,,3589771,1080,11.23,119.99,89.51
208,MFAI11,Papel,Fundo de Fundos,,9.4,27100000.0,"24,0K",0.9,69.73,1.63,,389185,2861,53.51,71.9,9.28
209,MFCR11,Fundo Misto,Indefinido,,14.32,10400000.0,"6,4K",0.99,103.11,-0.96,,101230,169,100.0,104.0,1.44
210,MFII11,Fundo Misto,Fundo de Desenvolvimento,,13.62,502700000.0,"529,6K",0.84,113.56,2.98,,4426834,30265,87.03,96.99,2.98
211,MGCR11,Papel,Papéis,,8.39,131199999.99999999,"259,1K",0.96,9.78,-89.25,,13416505,4360,8.17,9.4,10.85
212,MGFF11,Papel,Fundo de Fundos,,8.22,669800000.0,"2,6M",0.95,74.01,2.44,,9050620,44511,52.07,70.63,21.72
213,MGHT11,Tijolo,Hotéis,,17.13,113200000.0,"102,8K",0.56,86.16,1.08,,1313784,4579,43.0,70.29,16.59
214,MGLG11,Tijolo,Imóveis Industriais e Logísticos,,10.4,116100000.0,"55,3K",0.55,61.48,4.04,,1888174,3712,37.15,54.0,21.91
215,MINT11,Tijolo,Educacional,,1.32,69600000.0,"19,0K",0.74,133.89,9.67,,520000,82,91.06,119.9,0.3
216,MORC11,Papel,Papéis,,14.66,189200000.0,"1,1M",0.9,99.15,0.01,,1907808,8409,84.17,96.96,8.17
217,MORE11,Papel,Fundo de Fundos,,8.8,201500000.0,"600,4K",0.88,86.87,2.37,,2319115,18354,59.2,77.49,16.69
218,MXRF11,Papel,Papéis,,12.98,2600000000.0,"12,6M",1.08,9.86,1.14,,259279007,999290,10.0,11.12,5.14
219,NAVT11,Papel,Papéis,,12.74,58200000.0,"283,7K",0.98,95.05,1.63,,612282,1816,69.31,93.5,27.0
220,NCHB11,Papel,Papéis,,13.62,154000000.0,"550,3K",0.93,90.69,-1.1,,1697932,10952,75.99,89.49,5.7
221,NCRA11,Fiagro,Indefinido,,16.99,47100000.0,"274,8K",1.01,10.56,-0.28,,4459952,9617,9.2,10.86,13.34
222,NCRI11,Papel,Papéis,,12.21,40500000.0,"4,1K",0.89,10.25,0.77,,3949999,656,8.04,10.0,8.5
223,NEWL11,Tijolo,Imóveis Industriais e Logísticos,,10.16,278800000.0,"1,0M",0.87,137.14,4.64,,2033099,3876,97.57,118.77,21.72
224,NEWU11,Tijolo,Lajes Corporativas,,2.99,52000000.0,"266,7K",1.13,70.03,-2.53,,742000,1421,42.5,83.99,81.18
225,NSLU11,Tijolo,Hospitalar,,9.52,260500000.0,"570,9K",0.97,201.4,0.9,,1293286,6112,158.32,198.0,20.74
226,NVHO11,Tijolo,Hospitalar,,8.02,581800000.0,"1,3K",0.89,14.02,8.7,,41494533,2179,9.96,12.99,28.74
227,NVIF11B,Fundo Misto,Fundo de Desenvolvimento,,3.52,128900000.0,N/A,0.6,382.17,,,337399,7,0.0,0.0,0.0
228,OCRE11,Sem categoria,Papéis,,2.65,28900000.0,"32,1K",1.01,100.89,-0.48,,286006,444,101.0,106.0,0.99
229,OGHY11,Papel,Indefinido,,13.1,25500000.0,"56,6K",0.96,9.38,1.12,,2715373,1409,8.95,11.04,10.4
230,OIAG11,Fiagro,Indefinido,,16.87,88000000.0,"373,6K",0.93,9.74,-0.66,,9032999,12042,8.59,10.96,16.22
231,ONEF11,Tijolo,Lajes Corporativas,,21.76,215600000.0,"114,4K",0.85,236.65,-0.48,,911000,2637,162.0,205.44,16.23
232,OUFF11,Papel,Fundo de Fundos,,11.83,133600000.0,"203,5K",0.98,73.63,1.55,,1814336,7679,59.37,74.13,14.09
233,OUJP11,Papel,Papéis,,14.1,318900000.0,"555,4K",0.99,98.04,0.03,,3252384,29388,89.5,102.45,1.84
234,OULG11,Tijolo,Imóveis Industriais e Logísticos,,15.0,167500000.0,"231,2K",0.48,67.5,0.25,,2481283,5217,31.6,42.99,22.61
235,OURE11,Fundo Misto,Misto,,14.42,98600000.0,"99,8K",0.83,91.54,1.61,,1077087,6272,71.12,85.98,7.28
236,PATC11,Fundo Misto,Fundo de Desenvolvimento,,19.82,147200000.0,"501,5K",0.91,42.34,-1.03,,3477434,7038,38.5,74.99,42.54
237,PATL11,Tijolo,Imóveis Industriais e Logísticos,,10.35,490900000.0,"883,0K",0.7,98.34,0.75,,4991535,24292,59.18,75.66,3.68
238,PBLV11,Tijolo,Imóveis Industriais e Logísticos,,8.5,5900000000.0,N/A,0.6,1539.15,,,3845405,2,0.0,0.0,0.0
239,PEMA11,Papel,Papéis,,16.62,39000000.0,"1,1K",0.66,70.74,2.09,,552000,382,29.47,55.95,16.75
240,PLCA11,Fiagro,Indefinido,,15.71,52800000.0,"123,8K",0.89,94.76,2.21,,557019,2064,80.0,99.0,13.28
241,PLCR11,Papel,Papéis,,12.92,193800000.0,"307,0K",0.96,91.86,0.02,,2109169,17090,82.32,93.15,5.26
242,PLOG11,Tijolo,Imóveis Industriais e Logísticos,,13.32,79600000.0,"70,2K",0.63,106.2,-4.7,,750000,3284,66.15,81.47,5.38
243,PLRI11,Papel,Papéis,,6.71,27300000.0,958,0.57,28.6,5.35,,954304,704,14.86,25.1,34.65
244,PNCR11,Sem categoria,Imóveis Residenciais,,5.37,43600000.0,"174,3K",1.0,87.12,,,500000,110,87.17,100.0,12.83
245,PNDL11,Fundo Misto,Fundo de Desenvolvimento,,0.96,124400000.0,"1,4M",1.24,1047.99,0.23,,118696,59,1211.99,1300.0,6.64
246,PNRC11,Sem categoria,Indefinido,,11.17,41700000.0,"153,7K",1.01,101.77,,,410100,60,101.09,102.49,1.38
247,PORD11,Papel,Papéis,,13.44,364800000.0,"726,2K",0.94,97.84,2.17,,3728375,26808,81.65,91.9,1.72
248,PQAG11,Tijolo,Imóveis Industriais e Logísticos,,9.04,799200000.0,"6,2K",1.03,57.12,0.36,,13991890,477,49.11,59.48,9.74
249,PQDP11,Tijolo,Shoppings,,10.53,772600000.0,"128,7K",0.62,3147.05,1.71,,245513,4005,1597.56,2169.99,5.77
250,PRSN11B,Fundo Misto,Fundo de Desenvolvimento,,11.6,12400000.0,942,0.38,3.85,13.85,,3231246,826,1.14,2.6,21.28
251,PRTS11,Tijolo,Shoppings,,0.05,3100000.0,N/A,1961.67,0.06,,,55727500,11,0.0,0.0,0.0
252,PVBI11,Tijolo,Lajes Corporativas,,7.58,1300000000.0,"4,8M",1.03,100.19,0.42,,13006804,134437,85.0,108.97,18.22
253,QAGR11,Fundo Misto,Indefinido,,10.38,295700000.0,"668,7K",0.85,58.66,-1.89,,5040000,21977,40.96,51.54,15.65
254,QAMI11,Papel,Papéis,,9.62,74400000.0,"202,9K",0.91,92.8,10.17,,801398,1440,72.6,85.99,4.02
255,QIRI11,Papel,Papéis,,0.85,13400000.0,"6,9K",0.87,89.61,3.98,,150000,173,78.04,78.04,1.22
256,RBED11,Tijolo,Educacional,,11.11,337800000.0,"169,3K",1.02,143.44,1.56,,2355022,13154,117.3,147.2,22.9
257,RBFF11,Papel,Fundo de Fundos,,9.99,253400000.0,"655,5K",0.9,67.6,0.78,,3749215,20420,45.7,62.53,18.62
258,RBHG11,Papel,Papéis,,13.67,157300000.0,"329,3K",1.01,91.08,0.99,,1727582,9775,79.99,92.98,10.28
259,RBHY11,Papel,Papéis,,14.99,176500000.0,"166,3K",1.0,93.24,0.62,,1893505,3566,89.51,97.7,3.27
260,RBIR11,Fundo Misto,Fundo de Desenvolvimento,,4.38,150800000.0,"59,7K",0.94,98.62,2.88,,1528615,1604,58.0,93.98,43.21
261,RBLG11,Tijolo,Imóveis Industriais e Logísticos,,10.62,67000000.0,"11,7K",0.99,104.73,0.85,,640199,218,83.01,107.99,8.85
262,RBOP11,Outros,Lajes Corporativas,,17.84,85000000.0,"56,1K",0.41,836.09,0.95,,101664,3571,251.4,604.0,47.05
263,RBRD11,Tijolo,Varejo,,10.66,122100000.0,"33,3K",0.61,65.91,0.02,,1851786,8893,32.55,41.78,13.87
264,RBRF11,Papel,Fundo de Fundos,,8.89,1200000000.0,"2,6M",0.94,86.86,-0.7,,13680770,107170,62.0,88.3,17.71
265,RBRL11,Tijolo,Imóveis Industriais e Logísticos,,8.9,704700000.0,"1,1M",0.85,105.39,0.37,,6687035,13564,69.25,96.83,12.94
266,RBRM11,Fundo Misto,Fundo de Desenvolvimento,,8.06,14200000.0,N/A,3.59,26379.11,,,539,54,0.0,0.0,0.0
267,RBRP11,Tijolo,Lajes Corporativas,,5.7,1000000000.0,"1,4M",0.69,82.17,1.33,,12179186,87577,43.4,63.58,16.3
268,RBRR11,Papel,Papéis,,10.88,1400000000.0,"3,0M",0.96,95.26,0.72,,15057201,137838,81.93,92.4,3.02
269,RBRS11,Fundo Misto,Fundo de Desenvolvimento,,7.55,165200000.0,"81,9K",0.61,95.25,3.48,,1734299,1222,49.25,60.76,7.6
270,RBRX11,Fundo Misto,Indefinido,,14.2,182700000.0,"417,5K",0.1,97.11,0.53,,1881019,7498,7.97,9.66,5.32
271,RBRY11,Papel,Papéis,,13.99,988300000.0,"2,8M",1.02,98.39,0.56,,10044607,49753,91.46,102.65,3.72
272,RBTS11,Fundo Misto,Fundo de Desenvolvimento,,35.95,36200000.0,"169,0K",1.09,640.15,-2.78,,56525,62,691.01,1121.0,37.55
273,RBVA11,Tijolo,Varejo,,10.4,1200000000.0,"1,5M",1.05,107.52,-0.17,,11588199,47973,90.21,113.65,20.65
274,RBVO11,Papel,Papéis,,2.8,8700000.0,"1,4K",0.5,16.93,0.12,,515824,2496,7.9,10.68,19.27
275,RCFF11,Papel,Fundo de Fundos,,1.24,32900000.0,"40,8K",0.97,101.9,34.68,,323200,83,73.51,110.5,6.44
276,RCRB11,Tijolo,Lajes Corporativas,,5.76,771800000.0,"1,8M",0.77,209.12,-0.21,,3690695,31448,107.72,167.9,33.0
277,RDPD11,Papel,Papéis,,21.33,24100000.0,"98,3K",1.06,22.34,0.53,,1078042,3141,21.5,53.0,56.64
